Atom Number,Projection,NO.,X_Wannier,Y_Wannier,Z_Wannier,Spread,X_Atom,Y_Atom,Z_Atom,Distance
1,pz,1.0,2.426543,1.400984,0.0,1.31831347,2.36201,1.36371,0.0,0.0745242186473632
1,px,2.0,2.410497,1.391729,-0.0,1.31733219,2.36201,1.36371,0.0,0.05600047794438878
1,py,3.0,2.429565,1.402682,0.0,1.34605138,2.36201,1.36371,0.0,0.07799035074289642
2,pz,4.0,4.904763,1.400983,-0.0,1.31831297,4.9693,1.36371,0.0,0.07452718227599886
2,px,5.0,4.92081,1.391729,0.0,1.31733301,4.9693,1.36371,0.0,0.056003075460191724
2,py,6.0,4.901741,1.402682,0.0,1.34605114,4.9693,1.36371,0.0,0.07799381555610611
3,pz,7.0,0.0,2.801941,0.0,1.31827002,-0.0,2.72741,0.0,0.0745309999999999
3,px,8.0,0.0,2.805407,-0.0,1.34604843,-0.0,2.72741,0.0,0.07799700000000032
3,py,9.0,0.0,2.783416,0.0,1.31733295,-0.0,2.72741,0.0,0.056006
4,pz,10.0,3.665652,3.547157,0.0,1.31826936,3.66565,3.62169,0.0,0.07453300002683393
4,px,11.0,3.665654,3.543691,0.0,1.34604815,3.66565,3.62169,0.0,0.07799900010256557
4,py,12.0,3.665652,3.565682,0.0,1.3173321,3.66565,3.62169,0.0,0.056008000035709465
5,pz,13.0,-1.23911,4.948114,-0.0,1.31831297,-1.30365,4.98539,0.0,0.07453128052032892
5,px,14.0,-1.255157,4.957369,-0.0,1.31733301,-1.30365,4.98539,0.0,0.05600667362020335
5,py,15.0,-1.236088,4.946416,-0.0,1.34605114,-1.30365,4.98539,0.0,0.07799741354686036
6,pz,16.0,1.239111,4.948113,-0.0,1.31831281,1.30365,4.98539,0.0,0.0745309147267089
6,px,17.0,1.255157,4.957368,0.0,1.31733135,1.30365,4.98539,0.0,0.0560071739422727
6,py,18.0,1.236088,4.946416,-0.0,1.3460511,1.30365,4.98539,0.0,0.07799741354686036
7,pz,19.0,3.665653,0.0,1.884296,1.22999303,3.66565,0.0,1.8843,5.000000000077165e-06
7,px,20.0,3.665653,0.0,1.884296,1.22676164,3.66565,0.0,1.8843,5.000000000077165e-06
7,py,21.0,3.665653,0.0,1.884296,1.21990147,3.66565,0.0,1.8843,5.000000000077165e-06
8,pz,22.0,-1.832827,3.174549,1.884296,1.22999443,-1.83283,3.17455,1.8843,5.0990195136958636e-06
8,px,23.0,-1.832827,3.174549,1.884296,1.22287817,-1.83283,3.17455,1.8843,5.0990195136958636e-06
8,py,24.0,-1.832827,3.174549,1.884296,1.22327095,-1.83283,3.17455,1.8843,5.0990195136958636e-06
9,pz,25.0,1.832827,3.174549,1.884296,1.22999439,1.83283,3.17455,1.8843,5.0990195136958636e-06
9,px,26.0,1.832827,3.174549,1.884296,1.22287672,1.83283,3.17455,1.8843,5.0990195136958636e-06
9,py,27.0,1.832827,3.174549,1.884296,1.22327043,1.83283,3.17455,1.8843,5.0990195136958636e-06
